"","storyID","headline","text","publish_date"
"1",1435807348,"John Oliver: Trump's 'Stop The Witch Hunt' Merch Is Even Dumber Than Trump","President Donald Trump's merchandise to protest the impeachment inquiry caught the attention of John Oliver on HBO's 'Last Week Tonight' Sunday. (See the clip below.)The Official Trump Store'recently started selling T-shirts and posters with the words 'Stop the Witch Hunt!' while portraying Democratic House impeachment leaders Adam Schiff, Nancy Pelosi and Jerry Nadler as the witches from the 1993 film 'Hocus Pocus.' The three appear over an orb with a flag-bearing Trump flying like Superman.The 'witch hunt,' of course, echoes the president's ceaseless use of the term to describe the investigation into his alleged pressuring of Ukraine's president to investigate political rival Joe Biden. Trump also used it to describe Robert Mueller's investigation into Russian election interference.But if Trump and his souvenir makers really wanted to make a statement, maybe they could have started by making sense, Oliver said.'So, it's a witch hunt where the witches are the ones doing the hunting, which is categorically not what a witch hunt is, in the same way a duck hunt doesn't mean a bunch of ducks hunting humans in the woods,' the host said. 'Meanwhile, on the shirt, Trump is depicted as a flying superhero, which has no place in the witch genre.'Oliver also went after the product description, which says: 'The only people scared this Halloween are Shifty Schiff, Nervous Nancy and Democrat Hack Jerry Nadler about their chances in 2020!''In this witch hunt, the witches, even though they are the hunter, are the scared ones,' Oliver said. 'The only scared ones, in fact. It's still the greatest witch-hunt in the history of the USA, but only three people are scared, and all of them are witches. This shirt makes no fucking sense!'Too good- John Oliver on the ridiculous 'Witch Hunt' t-shirts Trump's selling that knock off the Hocus Pocus poster, and why they make 'no fucking sense' pic.twitter.com/aiaYE8ZAI4",2019-11-04 07:01:44
"2",1435984393,"Trump Has Reportedly Held Onto The New York Times, Washington Post Apps","President Donald Trump still has'Washington Post and New York Times apps on his cellphone, according to an Axios report published Sunday.Citing sources familiar with the president's phone, Axios said Trump had apps for both the Post and the Times on his iPhone XS Max despite the White House canceling subscriptions to both papers.Press secretary Stephanie Grisham confirmed in a statement on Oct. 24 that the White House would also instruct federal agencies not to renew their subscriptions to both media outlets, which she said would save 'hundreds of thousands of taxpayer dollars.' The announcement came one day after Fox News aired an interview between host Sean Hannity and Trump, during which the president labeled The New York Times a 'fake newspaper' and said 'we don't even want it in the White House anymore.''We're going to probably terminate that and The Washington Post,' he added. 'They're fake.'In July, a Politico report citing current and former White House officials claimed the president received four newspapers daily: The New York Times, The Washington Post, The Wall Street Journal and The New York Post.'Given a recent tweet slamming The Washinton Post's reporting on impeachment proceedings, it seems plausible Trump continues to ingest news from that newspaper.'The White House did not immediately return HuffPost's request for comment.Do you have information you want to share with HuffPost? Here's how.",2019-11-04 03:45:00
"3",1436226332,"White House Lawyer Expected To Defy Impeachment Subpoena","WASHINGTON (AP) ' The lead lawyer for the National Security Council is expected to defy a subpoena on Monday to appear before House impeachment investigators, as are three other White House witnesses, following President Donald Trump's orders not to cooperate with the probe.John Eisenberg is one of four White House witnesses scheduled for depositions on Monday. None of the four is expected to appear, for now, according to a person familiar with the matter who requested anonymity to discuss the confidential interviews. The other witnesses subpoenaed for testimony on Monday are White House aide Robert Blair, National Security Council aide Michael Ellis and Office of Management and Budget aide Brian McCormack.Democrats want to talk to all four about the machinations inside the White House before and after Trump held a July phone call with Ukrainian President Volodymir Zelenskiy and asked him to pursue investigations into political rival Joe Biden and his family and Ukraine's involvement in the 2016 election. Eisenberg was instrumental in discussions about how to handle a White House memo recounting the Trump phone call with Ukraine that is central to the impeachment inquiry.Blair is a top aide to acting White House chief of staff Mick Mulvaney, and McCormack is a former chief of staff to Energy Secretary Rick Perry, who led a U.S. delegation to Ukraine for Zelenskiy's inauguration in May. Ellis is Eisenberg's deputy and a former Republican aide to the House intelligence panel.Several more witnesses are scheduled this week, even though the House is on recess. Witnesses called include Perry and former national security adviser John Bolton, but it is unclear if any of them will show up.Do you have information you want to share with HuffPost? Here's how.",2019-11-04 10:46:18
"4",1436425899,"House Releases First Depositions From Trump Impeachment Probe","House investigators on Monday released transcripts from the closed-door interviews with two former State Department officials as part of their impeachment inquiry into President Donald Trump.'These are the first depositions the Democrat-controlled House has made public as they investigate Trump pressuring Ukrainian officials to investigate former Vice President Joe Biden and his son Hunter while also withholding U.S. military aid from the country.'The newly released interviews are from Marie Yovanovitch, the former U.S. ambassador to Ukraine, and P. Michael McKinley, a former senior adviser to Secretary of State Mike Pompeo. Both were conducted last month.''As we move towards this new public phase of the impeachment inquiry, the American public will begin to see for themselves the evidence that the committees have collected,' the three House chairmen leading the inquiry said in a statement. 'With each new interview, we learn more about the President's attempt to manipulate the levers of power to his personal political benefit.'Yovanovitch's deposition largely focused on Trump calling her 'bad news' during his July phone call with Ukrainian President Volodymyr Zelensky and forcing her out of her job in May. She also said she felt threatened by Trump's vague comments that '[Yovanovitch is] going to go through some things.'McKinley, who resigned last month so that he could give this testimony, defended Yovanovitch's tenure in his deposition and spoke out against any efforts by the Trump administration to 'procure negative political information for domestic purposes.'You can read the full transcripts below.'   Marie Yovanovitch deposition by Lydia O'Connor on Scribd   P. Michael McKinley deposition by Lydia O'Connor on ScribdDo you have information you want to share with HuffPost? Here's how.",2019-11-04 14:40:06
"5",1436525937,"Rudy Giuliani Associate Ready To Comply With Impeachment Probe, Lawyer Says","WASHINGTON (Reuters) - Lev Parnas, an indicted Ukrainian-American businessman who has ties to President Donald Trump's personal lawyer, Rudy'Giuliani, is now prepared to comply with requests for records and testimony from congressional impeachment investigators, his lawyer told Reuters on Monday.Parnas, who helped'Giuliani'look for dirt on Trump's political rival, former Vice President Joe Biden, is a key figure in the impeachment inquiry that is examining whether Trump abused his office for personal political gain.His apparent decision to now work with the congressional committees represents a change of heart. Parnas rebuffed a request from three House of Representatives committees last month to provide documents and testimony.'We will honor and not avoid the committee's requests to the extent they are legally proper, while scrupulously protecting Mr Parnas' privileges including that of the Fifth Amendment,' said the lawyer, Joseph Bondy, referring to his client's constitutional right to avoid self-incrimination.His previous lawyer, John Dowd, wrote to the committees in early October complaining that their requests for documents were 'overly broad and unduly burdensome.'Parnas pleaded not guilty in Manhattan federal court last month to being part of a scheme that used a shell company to donate money to a pro-Trump election committee and illegally raise money for a former congressman as part of an effort to have the president remove the U.S. ambassador to Ukraine.The indictment does not address the issues involved in the impeachment inquiry.Parnas would be a crucial witness if he were to cooperate. He has said he played a key role in connecting'Giuliani'to Ukrainian officials during'Giuliani's investigation into Biden and his son Hunter.Trump's request to Ukraine's president, Volodymyr Zelenskiy, in a July 25 phone call to investigate the Bidens was at the heart of a whistleblower complaint by an intelligence officer that sparked the Democratic-led impeachment inquiry on Sept. 24.'(Reporting By Aram Roston, editing by Ross Colvin and Howard Goller)Do you have information you want to share with HuffPost? Here's how.",2019-11-04 17:18:28
"6",1436565875,"Another Term For Trump’s Quid Pro Quo? Extortion.","WASHINGTON ' While both the president's defenders and critics have settled on the phrase 'quid pro quo' to describe President Donald Trump's dealings with Ukraine, some former federal prosecutors have an even simpler description for it: extortion.Federal law makes it a crime for an official to demand or threaten another party to obtain something of value ' a definition that appears to cover Trump's decision to withhold hundreds of millions of dollars in military aid to the country unless its leader agreed to launch investigations advantageous to Trump's reelection efforts.The relevant law is known as the Hobbs Act, said Danya Perry, a former prosecutor in the U.S. Attorney's office in New York City. Its definition of 'extortion' includes obtaining property using 'threatened force, violence, or fear, or under color of official right,' meaning using one's official capacity. The crime is punishable by up to 20 years in prison.'The statute is often applied to a demand or a threat made by a public official in order to obtain something of value in exchange for his or her performance of an official act. The House is examining, among other things, whether the Ukrainian government felt under pressure to investigate the Bidens as a prerequisite to receiving potentially life-saving military assistance,' she said, referring to former Vice President Joe Biden and his son Hunter. 'To be clear, we do not yet know how the evidence will play out and certainly there may be valid available defenses, but it is certainly possible to make out a prima facie case.'The White House did not respond to queries about the withheld funds. Trump counselor Kellyanne Conway told Fox News on Sunday that the whole question was moot because Ukraine ultimately received the $391 million in military aid ' but failed to note that it was released only after a whistleblower had filed a complaint about the matter. (The whistleblower first raised concern within the administration.)'Bill Weld, who ran the Justice Department's criminal division under President Ronald Reagan and is now running against Trump for the 2020 Republican presidential nomination, said Trump could also be charged with bribery. 'The Hobbs Act is an extortion statute, and the same facts can constitute extortion and bribery, as here,' he said.The House of Representatives moved to open impeachment proceedings against Trump after the White House released a summary of a July 25 phone call showing that, when the Ukrainian president asked about military aid, Trump responded: 'I would like you to do us a favor, though.'Trump and his allies have claimed that his requests for an investigation into Hunter Biden's work for a Ukrainian gas company and Ukraine's role in the origins of the FBI investigation into Trump's 2016 campaign are all about his interest in ending 'corruption.'Yet the White House has been unable to provide examples of Trump's interest in ending alleged 'corruption' except in those two cases, both of which happen to benefit him personally. Trump has long seen the former vice president as the most potent threat to his reelection, and Trump and his lawyer, Rudy Giuliani, have been trying to get Ukraine to publicly announce an investigation into the Bidens since early this year, according to testimony emerging from the impeachment inquiry. Further, Trump's insistence on a probe into Ukraine's supposed role in the 2016 election is, in reality, an attempt to undermine the conclusion reached by both the U.S. intelligence community and former special counsel Robert Mueller that Russia helped Trump win the presidency. Indeed, the'conspiracy theory'that Ukraine interfered in the 2016 election ' which Trump's former Homeland Security Adviser Tom Bossert called 'completely debunked' ' appears to have been spread by Russian intelligence, according to newly released documents from Mueller's investigation.Renato Mariotti, a former federal prosecutor from Illinois, said that prosecuting Trump is unlikely, particularly with impeachment well under way. 'It looks like extortion, and it is certainly corrupt, but I don't believe this is the sort of activity that would actually be prosecuted,' he said. 'Using presidential power in this way is not the sort of thing our criminal justice system is equipped to handle.'Republican senators, who would serve as jurors in an impeachment trial, are now turning to the argument that while Trump did, in fact, make military aid conditional on Ukraine conducting these investigations, such an act is not impeachable ' essentially arguing that presidents are permitted to shape American foreign policy to their own personal benefit.Former Republican congressman Joe Walsh, who is also running against Trump, said that the need to defend Trump will constantly bring his party ever lower.'Every single GOP senator who says it was an 'OK' quid pro quo are lying because they know it's not OK,' Walsh said. 'By not impeaching and removing Trump for what he did, they are telling future presidents that foreign powers can now decide American elections. Like Trump, that's a despicably disloyal thing for GOP senators to say and do.'Do you have information you want to share with HuffPost? Here's how.",2019-11-04 19:03:26
"7",1436604086,"Sen. Chuck Grassley Says It's 'Strictly Up To The Whistleblower' To Go Public","Sen. Chuck Grassley'said Monday that it's 'strictly' up to the whistleblower who triggered the impeachment inquiry whether or not to be identified. The Iowa Republican's comments came a day after an irritated President'Donald Trump called on the media to expose this 'radical' person's identity.Grassley, who has'authored whistleblower laws, has previously defended the anonymous process that protects federal whistleblowers from retaliation at work and physical threats.Asked by reporters to respond to Trump's demand for exposure, the senator said, 'That's strictly up to the whistleblower,' according to The Hill.'He added,''All I want to do is make sure the law is followed. A person like me that has advocated for whistleblowers for a long period of time, including this whistleblower, I want maximum protection for whistleblowers. The law protects the whistleblower,' CNN reported.Trump told reporters on Sunday that they would be doing a 'public service' to name the whistleblower. He insisted that the person 'lied' about his 'perfecto' phone call in July to Ukraine's president (see the video above). In the call, Trump pressed President Volodymyr Zelensky to launch an investigation into unfounded accusations of corruption against former Vice President'Joe Biden and his son Hunter.Also on Monday, Sen. Lindsey Graham (R-S.C.) insisted that Trump should be allowed to confront the whistleblower.Closed-door testimony by U.S. officials before the House committees conducting the impeachment inquiry ' as well as the White House's own rough transcript of the Zelensky call ' has already provided far more information than the original whistleblower complaint.Attorneys for the whistleblower have insisted on protecting their client's identity because there have been death threats, which are being'investigated by the FBI. The whistleblower has offered to answer questions from Republican lawmakers in writing'and under oath. But Rep. Jim Jordan (R-Ohio), the top Republican on the House Oversight Committee, said in a statement Sunday that written answers wouldn't be 'sufficient.'Grassley also'defended the whistleblower'in a statement last month.''This person appears to have followed the whistleblower protection laws and ought to be heard out and protected,' he wrote. 'We should always work to respect whistleblowers' requests for confidentiality.'The longtime senator said in September that''whistleblower laws are critical to providing safe outlets to share information so governmental officials can be held responsible without harming national security.'Grassley'co-founded the Senate Whistleblower Protection Caucus'in 2015 to raise awareness of the need to protect employees in both the private and public sectors who call attention to wrongdoing.Do you have information you want to share with HuffPost? Here's how.",2019-11-04 19:47:11
"8",1436618721,"Former Ukraine Ambassador Lays Out White House Campaign To Oust Her","WASHINGTON (AP) ' It started with a warning to watch her back, that people were 'looking to hurt' her. From there, former U.S. Ambassador to Ukraine Marie Yovanovitch told House investigators, it escalated into a chilling campaign to fire her as President Donald Trump and his allies angled in Eastern Europe for political advantage at home.Testimony from Yovanovitch, released Monday, offered a first word-for-word look at the closed-door House impeachment hearings. Inside, Democrats and Republicans are waging a pitched battle over what to make of Trump's efforts to get Ukraine's leaders to investigate political rival Joe Biden, Biden's son and Democratic activities in the 2016 election.The transcript came out on the same day that four Trump administration officials defied subpoenas to testify, acting on orders from a White House that is fighting the impeachment investigation with all its might. Among those refusing to testify: John Eisenberg, the lead lawyer at the National Security Council and, by some accounts, the man who ordered a rough transcript of Trump's phone call with Ukraine's leader moved to a highly restricted computer system.During nine hours of sometimes emotional testimony, Yovanovitch detailed efforts led by Rudy Giuliani and other Trump allies to push her out of her post. The career diplomat, who was recalled from her job in May on Trump's orders, testified that a senior Ukrainian official told her that 'I really needed to watch my back.'While the major thrust of Yovanovitch's testimony was revealed in her opening statement, Monday's 317-page transcript provided new details.Yovanovitch offered significant threads of information including the possibility that Trump was directly involved in a phone call with Giuliani, the president's personal lawyer, and the Ukrainians dating back to January 2018. And she pushed back on Republican suggestions that she harbored opposition to Trump.She had been recalled from Kyiv before the July 25 phone call between Trump and Ukrainian President Volodymyr Zelenskiy that's at the center of the impeachment inquiry. Later, she was 'surprised and dismayed' by what she saw in the transcript of the call ' including that Trump had called her 'bad news.' He also said that 'she's going to go through some things.''I was shocked,' Yovanovitch said, to see 'that the president would speak about me or any ambassador in that way to a foreign counterpart.'Asked about her as he left on a campaign trip Monday, Trump had a more equivocal comment: 'I'm sure she's a very fine woman. I just don't know much about her.'House Intelligence Committee Chairman Adam Schiff said transcripts from the hearings are being released so 'the American public will begin to see for themselves.' Two were released Monday, and more are coming.Republicans have accused Democrats of conducting a one-sided process behind closed doors.But the transcripts show GOP lawmakers were given time for questioning, which they used to poke at different aspects of the impeachment inquiry. Some Republicans criticized the process as unfair, while others tried to redirect witnesses to their own questions about Biden's work on Ukraine corruption issues while he was vice president.In public, some Republicans say the president's actions toward Ukraine, though not ideal, are certainly not impeachable.Rep. Jim Jordan of Ohio, the top Republican on the Oversight committee, defended Yovanovitch's ouster as clearly within the president's prerogative.'President Trump has the authority to name who he wants in any ambassador position. That's a call solely for the president of the United States as the commander in chief,' Jordan said.Yovanovitch was recalled from Kyiv as Giuliani pressed Ukrainian officials to investigate baseless corruption allegations against Biden and his son Hunter, who was involved with Burisma, a gas company there.Giuliani's role in Ukraine was central to Yovanovitch's testimony. She said she was aware of an interest by the Trump lawyer and his associates in investigating Biden and Burisma 'with a view to finding things that could be possibly damaging to a presidential run,' as well as investigating the 2016 election and theories that it was Ukraine, and not Russia, that interfered.However, asked directly if Giuliani was promoting investigations on Burisma and Biden, Yovanovitch said, 'It wasn't entirely clear to me what was going on.'More directly, she drew a link between Giuliani and two businessmen <U+2015> Lev Parnas and Igor Fruman, who have been indicted in the U.S. on charges stemming from campaign donations <U+2015> as part of the campaign to oust her. She understood they were looking to expand their business interests in Ukraine 'and that they needed a better ambassador to sort of facilitate their business' efforts here.'Yovanovitch said was told by Ukrainian officials last November or December that Giuliani was in touch with Ukraine's former top prosecutor, Yuriy Lutsenko, 'and that they had plans, and that they were going to, you know, do things, including to me.'She said she was told Lutsenko 'was looking to hurt me in the U.S.'The diplomat said she sought advice from Gordon Sondland, Trump's ambassador to the European Union, after an article appeared in The Hill newspaper about Giuliani's complaints against her. Sondland told her, ''You need to go big or go home,' advising her to 'tweet out there that you support the president.'Yovanovitch said she felt she could not follow that advice as a nonpartisan government official.The former envoy stressed to investigators that she was not disloyal to the president. She answered 'no' when asked point blank if she'd ever 'badmouthed' Trump in Ukraine, and said she felt U.S. policy in Ukraine 'actually got stronger' because of Trump's decision to provide lethal assistance to the country ' military aid that later was held up by the White House as it pushed for investigations into Trump's political foes.Long hours into her testimony, Yovanovitch was asked why she was such 'a thorn in their side' that Giuliani and others wanted her fired.'Honestly,' she said, 'it's a mystery to me.'Yovanovitch, still employed by the State Department, is in a fellowship at Georgetown University.She told the investigators that the campaign against her, which included an article that was retweeted by Donald Trump Jr., undermined her ability to serve as a credible ambassador and she wanted Secretary of State Mike Pompeo to issue a statement defending her. But no statement was issued.The impeachment panels also released testimony Monday from Michael McKinley, a former senior adviser to Pompeo.McKinley, a 37-year career diplomat, testified that he decided to resign from his post as a senior adviser to Pompeo after his repeated efforts to get the State Department to issue a statement of support for Yovanovitch after the transcript of the Trump-Zelenskiy phone call was released. 'To see the impugning of somebody I know to be a serious, committed colleague in the manner that it was done raised alarm bells for me,' he said.McKinley said he was already concerned about politicization at the State Department, and that the refusal to publicly back Yovanovitch convinced him it was time to leave.___AP writers Eric Tucker, Matthew Daly, Alan Fram, Ben Fox, Padmananda Rama and Matthew Lee contributed to this reportDo you have information you want to share with HuffPost? Here's how.",2019-11-04 21:33:13
"9",1436643636,"Colbert Shows How Hard It Is To Say Just One Nice Thing About Donald Trump","'Late Show' host Stephen Colbert spotted something very unusual in the transcripts released Monday from the House testimony during the impeachment inquiry against President Donald Trump.'Former U.S. Ambassador to Ukraine Marie Yovanovitch told the House of reading a report that Trump attorney Rudy Giuliani was complaining about her, and turned to Gordon Sondland <U+2015> Trump's ambassador to the European Union <U+2015> for advice.'She said Sondland told her to 'go big or go home' and 'tweet out there that you support the president.'As Colbert noted, she didn't send out the tweet.''Faced with losing her career or saying one nice thing about Donald Trump, she said: 'anybody got any boxes?'' he cracked.'See more of his monologue below.'TONIGHT: Trump's Ukraine problems continue with the release of closed-door testimony from the former US ambassador to Ukraine. #LSSC pic.twitter.com/AX9xLMtKOb",2019-11-04 22:57:43
"10",1436674307,"Rand Paul Presses Media To Out Whistleblower At Trump Rally","Kentucky Sen. Rand Paul (R) demanded the media reveal the identity of the whistleblower whose complaint prompted the ongoing impeachment inquiry while onstage with President Donald Trump'on Monday evening.Trump was in Lexington, Kentucky, to hold a rally ahead of Tuesday's gubernatorial election, in which Republican Gov. Matt Bevin is seeking a second term. But the president also used the event to launch yet another defense of his behavior and attack the Democratic leaders spearheading the House probe into his call with the leader of Ukraine earlier this year.When the president brought Paul on stage, the senator peddled unfounded claims about former Vice President Joe Biden and his son Hunter. Paul also took aim at the whistleblower, who remains anonymous, echoing Republican calls for the intelligence worker's identity to be revealed.''We also now know the name of the whistleblower. The whistleblower needs to come forward as a material witness because he worked for Joe Biden at the same time Hunter Biden was getting money from corrupt oligarchs,' Paul said. 'I say tonight to the media, do your job and print his name.'The whistleblower's complaint focused on Trump's July 25 call with Ukrainian President Volodymyr Zelensky. During the discussion, Trump demanded that Zelensky investigate the Bidens in exchange for political favors and military aid. Many current and former administration officials have since corroborated that account, and the White House released a summary of the call showing as much.Neither Biden has been accused of any formal wrongdoing.Trump, who has demanded he be able to face the whistleblower and denied the existence of a quid pro quo, seemed slightly taken aback ' but pleased ' by Paul's ferocity on Monday.'Wow, that was excellent,' the president said. 'Thank you.'The Whistleblower gave false information & dealt with corrupt politician Schiff. He must be brought forward to testify. Written answers not acceptable! Where is the 2nd Whistleblower? He disappeared after I released the transcript. Does he even exist? Where is the informant? Con!Paul doubled down on his comments in a tweet shortly after the rally, saying he called 'on Congress to have the courage to immediately subpoena both Hunter Biden and the whistleblower!'I call on Congress to have the courage to immediately subpoena both Hunter Biden and the whistleblower!Several GOP Senators have been amping up their efforts to reveal the whistleblower's identity, despite efforts by the person's attorneys to keep it secret. Various conservative media outlets have been sharing an unverified name they believe is the whistleblower, but there has been no outside confirmation.The whistleblower's lawyers have said their client would be willing to answer Republicans''questions under oath as long as lawmakers didn't ask for any identifying information.'Trump and Paul were also joined by Senate Majority Leader Mitch McConnell (R-Ky.). Both Kentucky senators have closed ranks around the president even amidst the ongoing inquiry and a barrage of damaging testimony from current and former administration officials.The House voted to formalize the impeachment inquiry last Thursday amid Republican calls that the probe was being conducted in secret.The U.S. has several major whistleblower laws on the books meant to protect such people from retaliation, and the intelligence community inspector general and director of national security are prohibited from revealing whistleblowers' names. But those provisions generally do not prohibit Trump or his allies from seeking out ' or disclosing ' the whistleblower's identity.Some Republicans have expressed support for the whistleblower in the midst of the ongoing probe. Sen.'Chuck Grassley'(R-Iowa), who helped'author whistleblower protection laws, said Monday it was 'strictly' up to the person whether or not they reveal their identity.''All I want to do is make sure the law is followed. A person like me that has advocated for whistleblowers for a long period of time, including this whistleblower, I want maximum protection for whistleblowers,' Grassley said. 'The law protects the whistleblower.'Do you have information you want to share with HuffPost? Here's how.",2019-11-04 23:13:02
